Blue Light (Forward),Blue Light (Reverse),Radio Waves (Forward),Radio Waves (Reverse),Red Light (Forward),Red Light (Reverse),White Light (Forward),White Light (Reverse)
138.98892,113.16184,233.89854,43.455307,193.44742,28.851553,209.7809,53.024036
202.58856,17.088198,305.33215,2.7730756,250.14725,31.032587,185.39122,18.94366
211.97629,109.89332,64.48843,6.568701,273.1914,41.918236,56.08041,31.392431
134.16425,9.57822,48.37701,7.1009326,213.90254,7.3257666,41.88152,17.23054
45.866856,23.945362,169.7669,7.680429,160.67015,37.735,65.179955,3.478746
48.048576,11.392141,294.7749,21.528847,132.25914,20.381481,101.05956,60.17093
65.975655,11.200109,153.95816,69.511086,121.75868,53.59697,13.932908,24.369438
34.310844,18.642183,324.2535,48.24469,185.59558,56.775322,43.74424,33.21799
14.023715,13.267408,370.2534,34.233192,354.3085,54.40257,154.52083,19.47641
59.465946,32.33317,254.84666,52.00675,307.80927,47.21342,218.87653,102.20725
15.331565,182.46208,235.5897,14.4839945,151.35439,16.542297,218.98396,160.65298
17.036077,59.414894,106.82545,10.300144,102.28146,8.902503,123.14025,159.95053
36.64755,65.5504,100.02755,66.73227,67.225464,16.122486,94.18422,186.20415
22.454943,3.6027853,111.75038,8.732245,98.25822,15.0211115,84.83018,166.7799
42.027256,22.780561,206.25589,70.598206,76.646545,14.890644,251.92769,153.62996
87.431496,24.175684,90.92914,86.374886,33.537724,111.82347,360.04547,205.46289
88.07646,47.977962,9.896365,12.418669,19.957651,110.558586,244.131,118.18867
42.6604,42.300224,72.88967,9.011252,44.813614,22.427826,79.771355,110.63499
95.8713,35.180687,177.47195,12.187703,103.87529,23.89347,63.832333,164.35938
3.0479763,36.839386,130.29416,50.122913,42.804253,21.77481,142.9354,53.059002
34.89509,12.673774,22.685661,454.9492,67.29647,14.21929,78.74283,20.054064
38.097065,80.57562,101.23416,446.41696,123.158905,11.001117,39.11352,18.925869
83.8798,25.753464,37.17961,82.63267,155.74509,45.29826,29.548544,23.020748
64.701584,104.072556,291.12723,68.98661,112.7333,16.923765,1.997687,29.072182
46.437733,90.91322,401.28067,4.1525764,13.253165,251.78255,38.705288,38.64475
493.8409,72.3467,446.06024,31.422293,32.65607,273.09784,100.55167,59.33723
410.28488,47.984818,535.53424,5.333723,57.41712,237.1787,70.5616,48.102978
49.036285,41.014038,489.06357,13.97871,7.773558,225.15454,95.43671,48.53492
74.06349,65.525444,428.9071,12.345669,45.656662,97.83152,66.08995,49.406742
79.07959,7.5338964,426.37952,11.119903,52.542953,104.308586,29.385601,62.970028
103.729706,156.36357,457.94058,13.866162,124.24164,92.04803,38.51753,27.473028
89.44545,162.23982,506.13242,6.1525993,229.31613,65.86504,40.11299,73.95302
200.05731,264.11386,530.3025,16.655539,193.48674,70.53843,27.88583,88.268265
378.21747,264.19806,331.22925,14.385986,74.71527,162.89574,54.35072,57.57603
112.30078,242.05153,219.18787,16.02924,31.128952,230.18068,73.286125,14.809638
14.4123,27.80264,217.44885,16.900234,19.606005,209.68773,101.11609,23.79156
104.879295,42.66776,264.4641,2.5739381,11.970243,206.82494,124.238686,33.918503
11.441843,9.879875,113.35194,1.6182041,53.043278,176.68925,25.611351,11.869486
188.8512,1.1348021,421.21753,28.83933,64.62449,95.623344,102.15461,63.501106
138.80563,140.5517,458.10788,63.825985,118.76644,93.22042,116.29731,14.967865
73.326935,70.514435,509.96127,55.195374,279.07584,105.26484,49.090244,29.819124
30.303343,313.7484,496.1156,154.65271,273.37827,118.24427,55.086437,31.325138
10.998243,315.81827,432.96695,273.42783,167.76625,157.32947,64.05779,22.684286
87.97121,133.06703,501.3012,220.97037,67.01102,171.23586,7.9381685,12.161496
99.02367,178.5246,439.16776,160.31004,59.805386,123.83093,160.99306,21.056206
85.31237,79.467476,390.4239,186.74898,135.95584,21.507307,75.57446,5.856765
183.41441,39.520138,422.4918,109.44036,69.286064,11.416768,350.3468,14.552262
189.69794,46.15112,310.1363,29.32981,8.419744,27.071272,479.32297,48.482925
42.36106,60.24306,176.75546,45.364765,37.536007,42.306217,208.68558,3.0140462
11.9493885,184.47765,283.0169,19.6139,59.92813,35.942116,166.98894,49.99032
168.90688,249.37166,348.03787,50.06129,53.38934,81.91401,159.56021,25.807438
51.526672,43.42254,437.9871,47.224564,78.67017,50.200974,147.98515,78.89027
70.757645,78.86838,427.60904,126.275665,28.93511,24.575142,157.92348,32.90737
105.06733,65.43059,274.9197,134.51506,72.30392,108.001564,123.495224,5.3572283
316.06943,106.679214,292.6187,3.3982873,103.95622,173.21327,8.929687,79.2153
341.2702,86.341805,306.6955,13.259905,78.36979,359.74924,96.1672,75.02478
2.7308385,3.5118089,336.851,3.2098556,77.86069,491.3502,233.25218,11.076315
22.8435,49.187935,368.59628,8.244099,39.121754,411.25583,165.6996,26.404257
99.25926,83.01114,386.8008,8.954234,36.851864,359.5145,292.50458,56.022675
251.71487,15.650855,415.44626,59.220528,53.619205,263.29385,203.65588,58.139297
110.02945,21.84819,456.85898,58.4758,69.807785,128.45314,134.78067,166.5328
66.34445,22.477547,290.02676,0.30467385,48.927082,13.551194,301.36774,131.17914
117.55372,39.924023,234.93814,15.761509,31.58449,42.17554,355.16418,35.169155
33.716286,93.40209,403.20908,53.982197,99.261795,156.75705,313.5492,42.63121
27.946562,210.09607,422.99518,66.00986,127.21301,290.20358,227.94028,20.93864
36.43398,96.964485,394.48615,3.8274415,41.098347,342.92834,222.8537,132.09798
85.433304,163.65797,432.49268,16.566921,22.925783,418.41568,129.51205,44.191223
120.352516,18.18731,326.75046,19.720364,46.234844,413.64297,63.426563,11.632423
19.144121,15.138901,256.01495,29.278728,32.04631,333.1232,18.163757,56.17656
